mode,axis,mean_fidelity,pauli_transfer_diagonal
direct,X,0.9931640625,0.986328125
direct,Y,0.994140625,0.98828125
direct,Z,0.9970703125,0.994140625
none,X,0.9521484375,0.904296875
none,Y,0.63671875,0.2734375
none,Z,0.662109375,0.32421875
x_only,X,0.935546875,0.87109375
x_only,Y,0.541015625,0.08203125
x_only,Z,0.5615234375,0.123046875
z_only,X,0.9501953125,0.900390625
z_only,Y,0.5439453125,0.087890625
z_only,Z,0.5400390625,0.080078125
both,X,0.9521484375,0.904296875
both,Y,0.5361328125,0.072265625
both,Z,0.55078125,0.1015625
conditional_shadow,X,0.9375,0.875
conditional_shadow,Y,0.564453125,0.12890625
conditional_shadow,Z,0.541015625,0.08203125
delay_2us,X,0.5634765625,0.126953125
delay_2us,Y,0.6845703125,0.369140625
delay_2us,Z,0.662109375,0.32421875
delay_4us,X,0.4560546875,-0.087890625
delay_4us,Y,0.3076171875,-0.384765625
delay_4us,Z,0.6591796875,0.318359375
delay_8us,X,0.3740234375,-0.251953125
delay_8us,Y,0.3515625,-0.296875
delay_8us,Z,0.6572265625,0.314453125
