mode,state,axis,eigenvalue,circuit,delay_us,successes,shots,fidelity,ci95_low,ci95_high
direct,0,Z,1,klt002__direct__0__z,0,511,512,0.998046875,0.9890207217875786,0.9996551422384568
direct,1,Z,-1,klt002__direct__1__z,0,510,512,0.99609375,0.9858705928553464,0.9989281109196062
direct,+,X,1,klt002__direct__plus__x,0,511,512,0.998046875,0.9890207217875786,0.9996551422384568
direct,-,X,-1,klt002__direct__minus__x,0,506,512,0.98828125,0.9746716344674626,0.99461842830316
direct,+i,Y,1,klt002__direct__plusi__y,0,510,512,0.99609375,0.9858705928553464,0.9989281109196062
direct,-i,Y,-1,klt002__direct__minusi__y,0,508,512,0.9921875,0.9800865852024436,0.9969577980703441
none,0,Z,1,klt002__none__0__z,0,343,512,0.669921875,0.6280568977143614,0.7092560441298154
none,1,Z,-1,klt002__none__1__z,0,335,512,0.654296875,0.6120896983248862,0.6942059615106306
none,+,X,1,klt002__none__plus__x,0,494,512,0.96484375,0.945115945842939,0.9776481939146939
none,-,X,-1,klt002__none__minus__x,0,481,512,0.939453125,0.9153406398074799,0.9570204166860805
none,+i,Y,1,klt002__none__plusi__y,0,325,512,0.634765625,0.5921988135721021,0.6753252437525898
none,-i,Y,-1,klt002__none__minusi__y,0,327,512,0.638671875,0.5961710583145855,0.6791073195122713
x_only,0,Z,1,klt002__x_only__0__z,0,286,512,0.55859375,0.5153045489415962,0.6010102585908785
x_only,1,Z,-1,klt002__x_only__1__z,0,289,512,0.564453125,0.5211825137880625,0.6067637744976598
x_only,+,X,1,klt002__x_only__plus__x,0,472,512,0.921875,0.8953621180192564,0.9421044962145617
x_only,-,X,-1,klt002__x_only__minus__x,0,486,512,0.94921875,0.9266340388165454,0.9651128189324275
x_only,+i,Y,1,klt002__x_only__plusi__y,0,272,512,0.53125,0.4879530781828059,0.5740814858345139
x_only,-i,Y,-1,klt002__x_only__minusi__y,0,282,512,0.55078125,0.5074765977191094,0.5933295688090354
z_only,0,Z,1,klt002__z_only__0__z,0,283,512,0.552734375,0.5094325879882426,0.5952507387909847
z_only,1,Z,-1,klt002__z_only__1__z,0,270,512,0.52734375,0.4840562798278243,0.5702239636873305
z_only,+,X,1,klt002__z_only__plus__x,0,481,512,0.939453125,0.9153406398074799,0.9570204166860805
z_only,-,X,-1,klt002__z_only__minus__x,0,492,512,0.9609375,0.9404368991207076,0.9745729201347603
z_only,+i,Y,1,klt002__z_only__plusi__y,0,283,512,0.552734375,0.5094325879882426,0.5952507387909847
z_only,-i,Y,-1,klt002__z_only__minusi__y,0,274,512,0.53515625,0.49185250578326617,0.5779363787362185
both,0,Z,1,klt002__both__0__z,0,287,512,0.560546875,0.5172632022176453,0.6029287655659119
both,1,Z,-1,klt002__both__1__z,0,277,512,0.541015625,0.49770658608547097,0.5837137791872614
both,+,X,1,klt002__both__plus__x,0,486,512,0.94921875,0.9266340388165454,0.9651128189324275
both,-,X,-1,klt002__both__minus__x,0,489,512,0.955078125,0.9334960572612452,0.9698822812409753
both,+i,Y,1,klt002__both__plusi__y,0,274,512,0.53515625,0.49185250578326617,0.5779363787362185
both,-i,Y,-1,klt002__both__minusi__y,0,275,512,0.537109375,0.4938032068072858,0.5798628379632814
conditional_shadow,0,Z,1,klt002__conditional_shadow__0__z,0,281,512,0.548828125,0.5055212711004766,0.5914077351765856
conditional_shadow,1,Z,-1,klt002__conditional_shadow__1__z,0,273,512,0.533203125,0.4899024630836685,0.576009261184734
conditional_shadow,+,X,1,klt002__conditional_shadow__plus__x,0,479,512,0.935546875,0.9108659024588607,0.9537408335325349
conditional_shadow,-,X,-1,klt002__conditional_shadow__minus__x,0,481,512,0.939453125,0.9153406398074799,0.9570204166860805
conditional_shadow,+i,Y,1,klt002__conditional_shadow__plusi__y,0,301,512,0.587890625,0.5447549779395334,0.6297172333591786
conditional_shadow,-i,Y,-1,klt002__conditional_shadow__minusi__y,0,277,512,0.541015625,0.49770658608547097,0.5837137791872614
delay_2us,0,Z,1,klt002__delay_2us__0__z,2,339,512,0.662109375,0.620067129913666,0.7017371709261808
delay_2us,1,Z,-1,klt002__delay_2us__1__z,2,339,512,0.662109375,0.620067129913666,0.7017371709261808
delay_2us,+,X,1,klt002__delay_2us__plus__x,2,283,512,0.552734375,0.5094325879882426,0.5952507387909847
delay_2us,-,X,-1,klt002__delay_2us__minus__x,2,294,512,0.57421875,0.5309925363309714,0.6163395532101633
delay_2us,+i,Y,1,klt002__delay_2us__plusi__y,2,358,512,0.69921875,0.6581322873328285,0.7373380582775856
delay_2us,-i,Y,-1,klt002__delay_2us__minusi__y,2,343,512,0.669921875,0.6280568977143614,0.7092560441298154
delay_4us,0,Z,1,klt002__delay_4us__0__z,4,338,512,0.66015625,0.6180716235750351,0.6998555170137292
delay_4us,1,Z,-1,klt002__delay_4us__1__z,4,337,512,0.658203125,0.6160768849569968,0.697973095380685
delay_4us,+,X,1,klt002__delay_4us__plus__x,4,238,512,0.46484375,0.4220636212637814,0.5081474942167338
delay_4us,-,X,-1,klt002__delay_4us__minus__x,4,229,512,0.447265625,0.40474926120901533,0.49056741201175746
delay_4us,+i,Y,1,klt002__delay_4us__plusi__y,4,155,512,0.302734375,0.2645283218401132,0.34387849280055516
delay_4us,-i,Y,-1,klt002__delay_4us__minusi__y,4,160,512,0.3125,0.27387274156086344,0.3539198743352174
