mode,axis,mean_fidelity,pauli_transfer_diagonal
direct,X,1.0,1.0
direct,Y,1.0,1.0
direct,Z,1.0,1.0
none,X,1.0,1.0
none,Y,1.0,1.0
none,Z,1.0,1.0
x_only,X,1.0,1.0
x_only,Y,1.0,1.0
x_only,Z,1.0,1.0
z_only,X,1.0,1.0
z_only,Y,1.0,1.0
z_only,Z,1.0,1.0
both,X,1.0,1.0
both,Y,1.0,1.0
both,Z,1.0,1.0
conditional_shadow,X,1.0,1.0
conditional_shadow,Y,1.0,1.0
conditional_shadow,Z,1.0,1.0
delay_2us,X,1.0,1.0
delay_2us,Y,1.0,1.0
delay_2us,Z,1.0,1.0
delay_4us,X,1.0,1.0
delay_4us,Y,1.0,1.0
delay_4us,Z,1.0,1.0
delay_8us,X,1.0,1.0
delay_8us,Y,1.0,1.0
delay_8us,Z,1.0,1.0
