mode,state,axis,eigenvalue,circuit,delay_us,successes,shots,fidelity,ci95_low,ci95_high
direct,0,Z,1,klt002__direct__0__z,0,4096,4096,1.0,0.9990630225926348,0.9999999999999999
direct,1,Z,-1,klt002__direct__1__z,0,4096,4096,1.0,0.9990630225926348,0.9999999999999999
direct,+,X,1,klt002__direct__plus__x,0,4096,4096,1.0,0.9990630225926348,0.9999999999999999
direct,-,X,-1,klt002__direct__minus__x,0,4096,4096,1.0,0.9990630225926348,0.9999999999999999
direct,+i,Y,1,klt002__direct__plusi__y,0,4096,4096,1.0,0.9990630225926348,0.9999999999999999
direct,-i,Y,-1,klt002__direct__minusi__y,0,4096,4096,1.0,0.9990630225926348,0.9999999999999999
none,0,Z,1,klt002__none__0__z,0,4096,4096,1.0,0.9990630225926348,0.9999999999999999
none,1,Z,-1,klt002__none__1__z,0,4096,4096,1.0,0.9990630225926348,0.9999999999999999
none,+,X,1,klt002__none__plus__x,0,4096,4096,1.0,0.9990630225926348,0.9999999999999999
none,-,X,-1,klt002__none__minus__x,0,4096,4096,1.0,0.9990630225926348,0.9999999999999999
none,+i,Y,1,klt002__none__plusi__y,0,4096,4096,1.0,0.9990630225926348,0.9999999999999999
none,-i,Y,-1,klt002__none__minusi__y,0,4096,4096,1.0,0.9990630225926348,0.9999999999999999
x_only,0,Z,1,klt002__x_only__0__z,0,4096,4096,1.0,0.9990630225926348,0.9999999999999999
x_only,1,Z,-1,klt002__x_only__1__z,0,4096,4096,1.0,0.9990630225926348,0.9999999999999999
x_only,+,X,1,klt002__x_only__plus__x,0,4096,4096,1.0,0.9990630225926348,0.9999999999999999
x_only,-,X,-1,klt002__x_only__minus__x,0,4096,4096,1.0,0.9990630225926348,0.9999999999999999
x_only,+i,Y,1,klt002__x_only__plusi__y,0,4096,4096,1.0,0.9990630225926348,0.9999999999999999
x_only,-i,Y,-1,klt002__x_only__minusi__y,0,4096,4096,1.0,0.9990630225926348,0.9999999999999999
z_only,0,Z,1,klt002__z_only__0__z,0,4096,4096,1.0,0.9990630225926348,0.9999999999999999
z_only,1,Z,-1,klt002__z_only__1__z,0,4096,4096,1.0,0.9990630225926348,0.9999999999999999
z_only,+,X,1,klt002__z_only__plus__x,0,4096,4096,1.0,0.9990630225926348,0.9999999999999999
z_only,-,X,-1,klt002__z_only__minus__x,0,4096,4096,1.0,0.9990630225926348,0.9999999999999999
z_only,+i,Y,1,klt002__z_only__plusi__y,0,4096,4096,1.0,0.9990630225926348,0.9999999999999999
z_only,-i,Y,-1,klt002__z_only__minusi__y,0,4096,4096,1.0,0.9990630225926348,0.9999999999999999
