mode,state,axis,eigenvalue,estimator,circuit,successes,shots,fidelity,ci95_low,ci95_high
direct,0,Z,1,direct,direct__0__z,1019,1024,0.9951171875,0.9886208640204847,0.9979126050258261
direct,1,Z,-1,direct,direct__1__z,1017,1024,0.9931640625,0.9859570275523519,0.9966847907284901
direct,+,X,1,direct,direct__plus__x,1018,1024,0.994140625,0.9872757325386063,0.99731191112497
direct,-,X,-1,direct,direct__minus__x,1019,1024,0.9951171875,0.9886208640204847,0.9979126050258261
direct,+i,Y,1,direct,direct__plusi__y,1013,1024,0.9892578125,0.9808672290444821,0.9939912877054226
direct,-i,Y,-1,direct,direct__minusi__y,1019,1024,0.9951171875,0.9886208640204847,0.9979126050258261
dynamic,0,Z,1,dynamic,dynamic__0__z,547,1024,0.5341796875,0.5035560247624914,0.5645478636332105
dynamic,1,Z,-1,dynamic,dynamic__1__z,506,1024,0.494140625,0.4635974592194535,0.5247275884841404
dynamic,+,X,1,dynamic,dynamic__plus__x,951,1024,0.9287109375,0.9112969887506036,0.942920354269772
dynamic,-,X,-1,dynamic,dynamic__minus__x,960,1024,0.9375,0.9209765642475974,0.9507532072173871
dynamic,+i,Y,1,dynamic,dynamic__plusi__y,537,1024,0.5244140625,0.4937919858298624,0.5548536487384962
dynamic,-i,Y,-1,dynamic,dynamic__minusi__y,538,1024,0.525390625,0.4947678644902268,0.555823595460866
uncorrected,0,Z,1,uncorrected,uncorrected__0__z,549,1024,0.5361328125,0.5055102349785912,0.5664853041825795
uncorrected,0,Z,1,offline,uncorrected__0__z,998,1024,0.974609375,0.9630564079315764,0.9826147280773132
uncorrected,1,Z,-1,uncorrected,uncorrected__1__z,499,1024,0.4873046875,0.45679479710010296,0.5179094729243505
uncorrected,1,Z,-1,offline,uncorrected__1__z,990,1024,0.966796875,0.953960969856339,0.9761435630906757
uncorrected,+,X,1,uncorrected,uncorrected__plus__x,535,1024,0.5224609375,0.49184057822817057,0.5529134055747194
uncorrected,+,X,1,offline,uncorrected__plus__x,976,1024,0.953125,0.9383989631314129,0.9644640144573211
uncorrected,-,X,-1,uncorrected,uncorrected__minus__x,496,1024,0.484375,0.4538811144039422,0.5149856794723082
uncorrected,-,X,-1,offline,uncorrected__minus__x,960,1024,0.9375,0.9209765642475974,0.9507532072173871
uncorrected,+i,Y,1,uncorrected,uncorrected__plusi__y,502,1024,0.490234375,0.45970952633114787,0.5208322198415086
uncorrected,+i,Y,1,offline,uncorrected__plusi__y,954,1024,0.931640625,0.9145153444837018,0.9455394746848769
uncorrected,-i,Y,-1,uncorrected,uncorrected__minusi__y,502,1024,0.490234375,0.45970952633114787,0.5208322198415086
uncorrected,-i,Y,-1,offline,uncorrected__minusi__y,966,1024,0.943359375,0.9274740660747944,0.9559306576865962
